Model,CPC,City
Attraction-Uniform,0.8405003959819883,Raleigh
Attraction-Weighted,0.8489763512371696,Raleigh
Radiation-Pop,0.6015844507245999,Raleigh
Radiation-POI,0.590092112092799,Raleigh
Power-Pop,0.6952588259149035,Sacramento
Power-POI,0.6716992988403466,Sacramento
Exp-Pop,0.6929102261202756,Sacramento
Exp-POI,0.6778131189005061,Sacramento
Attraction-Uniform,0.7910784066318695,Sacramento
Attraction-Weighted,0.8087964373221471,Sacramento
Radiation-Pop,0.5956460755707458,Sacramento
Radiation-POI,0.5939110839378224,Sacramento
Power-Pop,0.6255111069920382,San_Antonio
Power-POI,0.5330185496237041,San_Antonio
Exp-Pop,0.6392772486373505,San_Antonio
Exp-POI,0.5628266580567417,San_Antonio
Attraction-Uniform,0.7878264610269808,San_Antonio
Attraction-Weighted,0.7431317168239553,San_Antonio
Radiation-Pop,0.4946693576526204,San_Antonio
Radiation-POI,0.4574899868058247,San_Antonio
Power-Pop,0.5738188009499898,San_Diego
Power-POI,0.4278598824649491,San_Diego
Exp-Pop,0.5841121108998698,San_Diego
Exp-POI,0.5062268629974023,San_Diego
Attraction-Uniform,0.7366217414233777,San_Diego
Attraction-Weighted,0.651614116185262,San_Diego
Radiation-Pop,0.4779758949372774,San_Diego
Radiation-POI,0.4158099323385568,San_Diego
Power-Pop,0.6877592735404853,San_Francisco
Power-POI,0.5275213298944067,San_Francisco
Exp-Pop,0.6487346261166859,San_Francisco
Exp-POI,0.5125366594457326,San_Francisco
Attraction-Uniform,0.6749660930169907,San_Francisco
Attraction-Weighted,0.5549485766108873,San_Francisco
Radiation-Pop,0.4245662160274943,San_Francisco
Radiation-POI,0.3273832216897411,San_Francisco
Power-Pop,0.67793589768218,San_Jose
Power-POI,0.5946371115732929,San_Jose
Exp-Pop,0.6467603597620759,San_Jose
Exp-POI,0.5894687035504745,San_Jose
Attraction-Uniform,0.7687186297331201,San_Jose
Attraction-Weighted,0.7190769836591409,San_Jose
Radiation-Pop,0.5114537579187344,San_Jose
Radiation-POI,0.474853659206411,San_Jose
Power-Pop,0.6981392193715066,Seattle
Power-POI,0.4662436679819774,Seattle
Exp-Pop,0.6565437507461,Seattle
Exp-POI,0.4363148033474942,Seattle
Attraction-Uniform,0.7523746599198645,Seattle
Attraction-Weighted,0.5052983933189739,Seattle
Radiation-Pop,0.5207833787545084,Seattle
Radiation-POI,0.3223328867839405,Seattle
Power-Pop,0.6665944479766227,Tampa
Power-POI,0.6600393532718988,Tampa
Exp-Pop,0.6814417667728087,Tampa
Exp-POI,0.6910315335635224,Tampa
Attraction-Uniform,0.823663293353198,Tampa
Attraction-Weighted,0.8347362765009125,Tampa
Radiation-Pop,0.5780701878914462,Tampa
Radiation-POI,0.5841102708477137,Tampa
Power-Pop,0.7258587149426321,Tucson
Power-POI,0.6959928828872026,Tucson
Exp-Pop,0.7000041816349714,Tucson
Exp-POI,0.6892807625394801,Tucson
Attraction-Uniform,0.8115171271876168,Tucson
Attraction-Weighted,0.8320206992500854,Tucson
Radiation-Pop,0.5316168505372902,Tucson
Radiation-POI,0.5241878735520442,Tucson
Power-Pop,0.734383734689262,Tulsa
Power-POI,0.7047695781048848,Tulsa
Exp-Pop,0.7018707501395877,Tulsa
Exp-POI,0.6849103748977139,Tulsa
Attraction-Uniform,0.8291058252597591,Tulsa
Attraction-Weighted,0.8278305215540924,Tulsa
Radiation-Pop,0.4945998234712878,Tulsa
Radiation-POI,0.4949278698652309,Tulsa
Power-Pop,0.7223122521076155,Virginia_Beach
Power-POI,0.6311307263773938,Virginia_Beach
Exp-Pop,0.7147197440979819,Virginia_Beach
Exp-POI,0.6399764623744579,Virginia_Beach
Attraction-Uniform,0.8170527019947894,Virginia_Beach
Attraction-Weighted,0.7848243982074031,Virginia_Beach
Radiation-Pop,0.5324003611692183,Virginia_Beach
Radiation-POI,0.4976906246160377,Virginia_Beach
Power-Pop,0.6574047806807762,Washington_DC
Power-POI,0.6705603305439295,Washington_DC
Exp-Pop,0.6207651471712416,Washington_DC
Exp-POI,0.6615526454380053,Washington_DC
Attraction-Uniform,0.6843867679346155,Washington_DC
Attraction-Weighted,0.7362566799538625,Washington_DC
Radiation-Pop,0.484652261359809,Washington_DC
Radiation-POI,0.5030725131422712,Washington_DC
Power-Pop,0.7487780578567298,Wichita
Power-POI,0.6479152369433703,Wichita
Exp-Pop,0.7244333241513473,Wichita
Exp-POI,0.6281048073902524,Wichita
Attraction-Uniform,0.8128660124450247,Wichita
Attraction-Weighted,0.7925932550595833,Wichita
Radiation-Pop,0.5219894273627376,Wichita
Radiation-POI,0.4980600176582845,Wichita
