ORIGIN_SUBZONE,distance_bin,COUNT
1102071.0,0.0,119351.04774355088
1102071.0,1.0,100722.09049987435
1102071.0,2.0,54633.333892698
1102071.0,3.0,37815.86284127055
1102071.0,4.0,40374.48166212641
1102071.0,5.0,29949.70449317125
1102071.0,6.0,21109.218816075077
1102071.0,7.0,29066.646045099893
1102071.0,8.0,15208.457039094714
1102071.0,9.0,14134.76277376192
1102071.0,10.0,12364.512227256453
1102071.0,11.0,13751.26167109394
1102071.0,12.0,10027.845904776766
1102071.0,13.0,4420.670475535568
1102071.0,14.0,2634.9960015558436
1102071.0,15.0,1960.1703700518374
1102071.0,16.0,545.7603050742637
1102071.0,17.0,343.87651695929486
1102071.0,18.0,209.5280649068476
1102071.0,19.0,516.0791574852749
1102072.0,0.0,154794.90830421876
1102072.0,1.0,76415.18473326933
1102072.0,2.0,34817.992720779024
1102072.0,3.0,39496.38179769081
1102072.0,4.0,22852.572399139244
1102072.0,5.0,22584.794284770815
1102072.0,6.0,21371.274144301646
1102072.0,7.0,19999.871694347945
1102072.0,8.0,15354.433641636315
1102072.0,9.0,13431.57088051176
1102072.0,10.0,12763.63648596874
1102072.0,11.0,10031.868476242667
1102072.0,12.0,8054.998314709474
1102072.0,13.0,2523.344241186867
1102072.0,14.0,2673.8457733916775
1102072.0,15.0,969.7058342741437
1102072.0,16.0,1621.3638373792073
1102072.0,17.0,191.03510848784907
1102072.0,18.0,177.05761145184348
1102072.0,19.0,239.4818951944299
1102073.0,0.0,117007.67533684132
1102073.0,1.0,88234.14475496736
1102073.0,2.0,33132.72635844108
1102073.0,3.0,32771.156919929854
1102073.0,4.0,13304.252660636357
1102073.0,5.0,19411.379207362297
1102073.0,6.0,20366.003890494307
1102073.0,7.0,10071.880018812697
1102073.0,8.0,16789.37497696592
1102073.0,9.0,8564.634934596632
1102073.0,10.0,11184.95746757271
1102073.0,11.0,7054.989067460931
1102073.0,12.0,4468.105531185943
1102073.0,13.0,3249.6227540435466
1102073.0,14.0,1857.2881357184303
1102073.0,15.0,2495.651041729376
1102073.0,16.0,1187.5853494882397
1102073.0,17.0,534.3567900802497
1102073.0,18.0,61.70530519378781
1102073.0,19.0,468.088917819145
1103051.0,0.0,78024.69577745233
1103051.0,1.0,96532.33390131843
1103051.0,2.0,72115.92993844184
1103051.0,3.0,36058.1183047572
1103051.0,4.0,16768.497573368193
1103051.0,5.0,29894.976184636787
1103051.0,6.0,16555.91050056033
1103051.0,7.0,25993.873766227727
1103051.0,8.0,18355.464786818866
1103051.0,9.0,13945.629257044926
1103051.0,10.0,9873.97479462659
1103051.0,11.0,9851.484394749681
1103051.0,12.0,7333.0063011726625
1103051.0,13.0,6112.399448340741
1103051.0,14.0,2944.7451895945114
1103051.0,15.0,508.9435759240626
1103051.0,16.0,1021.9716964553169
1103052.0,0.0,34609.05122942928
1103052.0,1.0,149462.9793002694
1103052.0,2.0,51314.10000618945
1103052.0,3.0,39822.82842393127
1103052.0,4.0,25252.14057657221
1103052.0,5.0,32732.45461591087
1103052.0,6.0,31230.328777994055
