Zone,Uniform_CPC,Uniform_R2,Weighted_CPC,Weighted_R2,RadPop_CPC,RadPop_R2,RadPOI_CPC,RadPOI_R2,Power_CPC,Power_R2,Exp_CPC,Exp_R2
BTSZ04,0.643148261885162,0.5983089112435374,0.6675265408086903,0.40383576666137,0.3121111313524582,-5.291767378945003,0.352395611442997,-6.188758976143254,0.655432923795571,0.4216052864748292,0.6385068798963562,0.42339599279092677
BTSZ08,0.5918559040130379,0.5144302393748015,0.6649729499681388,0.4447305978509377,0.07576701747032152,-51.797252684962096,0.1758183700196678,-38.77873260503988,0.6363571729347268,0.11266141903803095,0.5967842510033287,0.4012018321370937
TSSZ05,0.7210877012134455,0.8768559125432203,0.7820894967411101,0.9389673244984587,0.41083621536994536,-2.3676526710634165,0.49289629619477937,-0.40840731637937133,0.6006934253275084,0.7271925607725054,0.7041461079691452,0.8593379245113452
TNSZ01,0.5899341435647127,0.27532420821256165,0.7227666071640088,0.6775795286211654,0.22000736733216603,-11.304897730147415,0.3418866585246815,-6.472998601003377,0.6986772191847784,0.6647021410406411,0.6465293181249029,0.5266416780612105
CLSZ05,0.5551155212252014,0.45905095930937356,0.5808412342167297,0.5260858693984692,0.23195781001547752,-9.21739120626994,0.27915443768271003,-6.9692666957618945,0.5617668701743392,0.4051163842269093,0.5382631887112019,0.28534095182536545
BDSZ08,0.6411183203196535,0.6028022748245361,0.7309855828655819,0.740880010484011,0.25911250827436694,-14.065244486531384,0.34149766614942845,-7.577417508370003,0.6995630173119003,0.6018643885850303,0.6936125876053947,0.6939739267910949
PNSZ03,0.6216766176401175,0.4945821927780636,0.660637632480895,0.7123854240281167,0.1737306189669462,-20.074727740891017,0.25851154940498167,-14.162721478321167,0.5886041001093374,0.6348071770477076,0.6089802338313586,0.5876537987878314
PNSZ02,0.6091131777451899,0.5371881507486689,0.721045593072373,0.8183041463412216,0.21581925719718423,-9.50087364792422,0.2983961605803092,-8.256274355413733,0.5992147416763633,0.6007973485140433,0.6526484276932745,0.6760042155211139
GLSZ04,0.6719996964754238,0.7860241448305929,0.800334208971612,0.9375460571444121,0.5091211544934628,-0.5041219466975315,0.561262069339432,0.1736254532712389,0.7845397485014541,0.9248146688031114,0.7298777727806339,0.8646534191814415
TNSZ04,0.6359852931790145,0.550697882212229,0.7511155099132559,0.8018267577040036,0.31546949772924415,-12.168616805204516,0.4352441449292446,-4.331766950564206,0.7245895763457837,0.7035340944157092,0.6864059650636972,0.6505188643756707
NVSZ02,0.5501919186963105,0.31440388361903837,0.6760927966020693,0.5503848360507176,0.2760853411274928,-7.870732535235074,0.30254947832555235,-5.768161253224381,0.622983000522305,0.325565390080925,0.591282250832701,0.4209690148596489
BLSZ02,0.6583721216740078,0.6099159108313321,0.7345541439943443,0.8711449068199109,0.10130028709414865,-23.977594061441614,0.3165114356674543,-6.415788031620667,0.6139350541792052,0.6487211709943229,0.6150505295870262,0.6920229897967205
