Zone,Model,CPC,R2
KLSZ02,No POI (Eq),0.6209981872204802,0.543198221386719
KLSZ02,POI Weighted,0.7192655537064605,0.7312585412010486
KLSZ02,Global P_bin,0.5280891107103786,0.2681543739932484
KLSZ03,No POI (Eq),0.5436025764021434,0.3166930709163285
KLSZ03,POI Weighted,0.6684507746372331,0.6296282737714425
KLSZ03,Global P_bin,0.4852726626087018,0.18358328491158638
KLSZ04,No POI (Eq),0.6161799560606984,0.5018376247014157
KLSZ04,POI Weighted,0.739563968351068,0.7578014972863385
KLSZ04,Global P_bin,0.5720392065760629,0.37182352497427096
KLSZ05,No POI (Eq),0.6040825230045518,0.6225445695559437
KLSZ05,POI Weighted,0.7349045793001366,0.8340037426334282
KLSZ05,Global P_bin,0.502579271109751,0.12347992160010723
KLSZ06,No POI (Eq),0.5479661903769556,0.26313389575040924
KLSZ06,POI Weighted,0.6978547364217357,0.674523041592048
KLSZ06,Global P_bin,0.5264916668782489,0.21670479165085432
KLSZ07,No POI (Eq),0.5882723922466704,0.4362699337860254
KLSZ07,POI Weighted,0.7060701174374244,0.6109971641382117
KLSZ07,Global P_bin,0.5411125355486812,0.21133350208702484
KLSZ08,No POI (Eq),0.5826062066961941,0.41282480247632536
KLSZ08,POI Weighted,0.6701846564245545,0.4931478980100613
KLSZ08,Global P_bin,0.5110167722852044,0.22353653215502944
KLSZ09,No POI (Eq),0.5828147739215928,0.28528330911993816
KLSZ09,POI Weighted,0.7268770800227998,0.6914394088771678
KLSZ09,Global P_bin,0.5609347134746501,0.21189970271939795
LKSZ01,No POI (Eq),0.6317757710158762,0.6856369575626751
LKSZ01,POI Weighted,0.6826671253799003,0.7685028886081662
LKSZ01,Global P_bin,0.4966816262273102,0.24139059120955175
MDSZ01,No POI (Eq),0.5631795237884447,0.5325544946718774
MDSZ01,POI Weighted,0.6491578417512397,0.7815837360728813
MDSZ01,Global P_bin,0.41658303647958606,0.2387393144547164
MDSZ02,No POI (Eq),0.6317407528949742,0.655378830782328
